word;POS;BH_definition;MH_definition;cosine_distance;Biblical_reference;verse;form_in_verse
éÂÕ¼Ý;noun;garlic;"name, sake, purpose, cause; found exclusively, or nearly so, in various fixed expressions";0.679 (EN);Num.11.5;ÖÛèàÕ Ðê ÔÓÒÔ Ðéè àÐÛÜ ÑÞæèÙÝ ×àÝ Ðê ÔçéÐÙÝ ÕÐê ÔÐÑØ×ÙÝ ÕÐê Ô×æÙè ÕÐê ÔÑæÜÙÝ ÕÐê ÔéÕÞÙÝ;ÔéÕÞÙÝ
Û¸¼è;noun;basket-saddle;cushion;0.546 (MULTI);Gen.31.34;Õè×Ü Üç×Ô Ðê ÔêèäÙÝ ÕêéÞÝ ÑÛè ÔÒÞÜ ÕêéÑ âÜÙÔÝ ÕÙÞéé ÜÑß Ðê ÛÜ ÔÐÔÜ ÕÜÐ ÞæÐ;ÑÛè
Þ¶«é¶Áç;noun;possession;farm;0.632 (MULTI);Gen.15.2;ÕÙÐÞè ÐÑèÝ ÐÓàÙ ÙÔÕÔ ÞÔ êêß ÜÙ ÕÐàÛÙ ÔÕÜÚ âèÙèÙ ÕÑß Þéç ÑÙêÙ ÔÕÐ ÓÞéç ÐÜÙâÖè;Þéç
æ°Ó¸ç¸Ô;noun;right doing;charity;0.741 (EN);Dan.9.7;ÜÚ ÐÓàÙ ÔæÓçÔ ÕÜàÕ Ñéê ÔäàÙÝ ÛÙÕÝ ÔÖÔ ÜÐÙé ÙÔÕÓÔ ÕÜÙÕéÑÙ ÙèÕéÜÝ ÕÜÛÜ ÙéèÐÜ ÔçèÑÙÝ ÕÔè×çÙÝ ÑÛÜ ÔÐèæÕê Ðéè ÔÓ×êÝ éÝ ÑÞâÜÝ Ðéè ÞâÜÕ ÑÚ;ÔæÓçÔ
×µ«è¶Ý;noun;sacred;excommunication, anathema, taboo, dedication, consecration;0.338 (MULTI);1Sam.15.21;ÕÙç× ÔâÝ ÞÔéÜÜ æÐß ÕÑçè èÐéÙê Ô×èÝ ÜÖÑ× ÜÙÔÕÔ ÐÜÔÙÚ ÑÒÜÒÜ;Ô×èÝ
Û´¼è°Û¸¼è¸Ô;noun;dromedary;carriage;0.683 (MULTI);Isa.66.20;Õ°ÔµÑ´ÙÐÕ¼ Ð¶ê Û¼¸Ü Ð²×µÙÛ¶Ý Þ´Û¼¸Ü Ô·Ò¼Õ¹Ù´Ý Þ´à°×¸Ô Ü·ÙÔÕ¸Ô Ñ¼·á¼Õ¼á´ÙÝ Õ¼Ñ¸è¶Û¶Ñ Õ¼Ñ·æ¼·Ñ¼´ÙÝ Õ¼Ñ·ä¼°è¸Ó´ÙÝ Õ¼Ñ·Û¼´è°Û¼¸èÕ¹ê â·Ü Ô·è ç¸Ó°éÁ´Ù Ù°èÕ¼éÁ¸Ü·´Ý Ð¸Þ·è Ù°ÔÕ¸Ô Û¼·Ð²éÁ¶è Ù¸Ñ´ÙÐÕ¼ Ñ°àµÙ Ù´éÂ°è¸ÐµÜ Ð¶ê Ô·Þ¼´à°×¸Ô Ñ¼´Û°Ü´Ù Ø¸ÔÕ¹è Ñ¼µÙê Ù°ÔÕ¸Ô;Õ¼Ñ·Û¼´è°Û¼¸èÕ¹ê
à¸Ø¸ã;noun;gum;drop;0.795 (EN);Exod.30.34;ÕÙÐÞè ÙÔÕÔ ÐÜ ÞéÔ ç× ÜÚ áÞÙÝ àØã Õé×Üê Õ×ÜÑàÔ áÞÙÝ ÕÜÑàÔ ÖÛÔ ÑÓ ÑÑÓ ÙÔÙÔ;àØã
ä°¼æ´Ùè¸Ô;noun;bluntness;file;0.704 (MULTI);1Sam.13.21;Õ°Ô¸Ù°ê¸Ô Ô·ä¼°æ´Ùè¸Ô ä´ÙÝ Ü·Þ¼·×²èµéÁ¹ê Õ°Ü¸Ðµê´ÙÝ Õ°Ü´éÁ°Ü¹éÁ ç´Ü¼°éÁÕ¹ß Õ¼Ü°Ô·ç¼·è°Ó¼»Þ¼´ÙÝ Õ¼Ü°Ô·æ¼´ÙÑ Ô·Ó¼¸è°Ñ¸ß;Ô·ä¼°æ´Ùè¸Ô
×µ«é¶Áç;noun;spoke (of a wheel);zest, enthusiasm;0.412 (MULTI);1Kgs.7.33;Õ¼Þ·â²éÂµÔ Ô¸ÐÕ¹ä·à¼´ÙÝ Û¼°Þ·â²éÂµÔ ÐÕ¹ä·ß Ô·Þ¼¶è°Û¼¸Ñ¸Ô Ù°ÓÕ¹ê¸Ý Õ°Ò·Ñ¼µÙÔ¶Ý Õ°×´éÁ¼»çµÙÔ¶Ý Õ°×´éÁ¼»èµÙÔ¶Ý Ô·Û¼¹Ü ÞÕ¼æ¸ç;Õ°×´éÁ¼»çµÙÔ¶Ý
é°ÂØ·è;noun;official, officer;document, contract, banknote, writing, deed, bill,;0.573 (MULTI);Deut.16.18;éäØÙÝ ÕéØèÙÝ êêß ÜÚ ÑÛÜ éâèÙÚ Ðéè ÙÔÕÔ ÐÜÔÙÚ àêß ÜÚ ÜéÑØÙÚ ÕéäØÕ Ðê ÔâÝ ÞéäØ æÓç;ÕéØèÙÝ
Ñ·¼ç¸¼è¸Ô;noun;a seeking;control, supervision, inspection;0.597 (MULTI);Ezek.34.12;ÛÑçèê èâÔ âÓèÕ ÑÙÕÝ ÔÙÕêÕ ÑêÕÚ æÐàÕ àäèéÕê Ûß ÐÑçè Ðê æÐàÙ ÕÔæÜêÙ ÐêÔÝ ÞÛÜ ÔÞçÕÞê Ðéè àäæÕ éÝ ÑÙÕÝ âàß ÕâèäÜ;ÛÑçèê
Ü¶«Û¶Ó;noun;a taking;related to consolidation;0.727 (MULTI);Prov.3.26;ÛÙ ÙÔÕÔ ÙÔÙÔ ÑÛáÜÚ ÕéÞè èÒÜÚ ÞÜÛÓ;ÞÜÛÓ
áÔè;noun;roundness;crescent;0.418 (MULTI);Song.7.3;éèèÚ ÐÒß ÔáÔè ÐÜ Ù×áè ÔÞÖÒ ÑØàÚ âèÞê ×ØÙÝ áÕÒÔ ÑéÕéàÙÝ;ÔáÔè
à·«×·ê;noun;descent;a flat, a flat sign;0.573 (MULTI);Isa.30.30;ÕÔéÞÙâ ÙÔÕÔ Ðê ÔÕÓ çÕÜÕ Õà×ê ÖèÕâÕ ÙèÐÔ ÑÖâã Ðã ÕÜÔÑ Ðé ÐÕÛÜÔ àäå ÕÖèÝ ÕÐÑß ÑèÓ;Õà×ê
ÖÕ¼Ó;verb;to be presumptuous;to plot, plan;0.654 (MULTI);Exod.21.14;ÕÛÙ ÙÖÓ ÐÙé âÜ èâÔÕ ÜÔèÒÕ ÑâèÞÔ ÞâÝ ÞÖÑ×Ù êç×àÕ ÜÞÕê;ÙÖÓ
æ¸Þ´ÙÓ;noun;cover;bracelet, wristband;0.656 (MULTI);Num.19.15;Õ°Û¹Ü Û¼°Ü´Ù ä¸êÕ¼×· Ð²éÁ¶è ÐµÙß æ¸Þ´ÙÓ ä¼¸ê´ÙÜ â¸Ü¸ÙÕ Ø¸ÞµÐ ÔÕ¼Ð;æ¸Þ´ÙÓ
Ø¸è¸ã;adjective;fresh-plucked;treyf, non-kosher;0.483 (MULTI);Gen.8.11;ÕêÑÐ ÐÜÙÕ ÔÙÕàÔ Üâê âèÑ ÕÔàÔ âÜÔ ÖÙê Øèã ÑäÙÔ ÕÙÓâ à× ÛÙ çÜÕ ÔÞÙÝ ÞâÜ ÔÐèå;Øèã
Þ·×²Ü¸ã;noun;knife;an interchange;0.964 (EN);Ezra.1.9;ÕÐÜÔ ÞáäèÝ ÐÒèØÜÙ ÖÔÑ éÜéÙÝ ÐÒèØÜÙ Ûáã ÐÜã Þ×ÜäÙÝ êéâÔ ÕâéèÙÝ;Þ×ÜäÙÝ
Þ¸á¸Ô;noun;melting;mass, bulk;0.605 (MULTI);Job.9.23;ÐÝ éÕØ ÙÞÙê äêÐÝ ÜÞáê àçÙÝ ÙÜâÒ;Ü°Þ·á¼·ê
á¸Û·è;verb;to hire;to dam, to block, to close;0.669 (EN);Ezra.4.5;Õ°á¹Û°è´ÙÝ â²ÜµÙÔ¶Ý ÙÕ¹â²æ´ÙÝ Ü°Ô¸äµè â²æ¸ê¸Ý Û¼¸Ü Ù°ÞµÙ Û¼Õ¹è¶éÁ Þ¶Ü¶Ú° ä¼¸è·á Õ°â·Ó Þ·Ü°ÛÕ¼ê Ó¼¸è°Ù¸Õ¶éÁ Þ¶Ü¶Ú° ä¼¸è¸á;Õ°á¹Û°è´ÙÝ
ê¸¼ÜÕ¼Ü;adjective;lofty;steep;0.319 (MULTI);Ezek.17.22;ÛÔ ÐÞè ÐÓàÙ ÙÔÕÔ ÕÜç×êÙ ÐàÙ ÞæÞèê ÔÐèÖ ÔèÞÔ ÕàêêÙ ÞèÐé ÙàçÕêÙÕ èÚ ÐçØã ÕéêÜêÙ ÐàÙ âÜ Ôè ÒÑÔ ÕêÜÕÜ;ÕêÜÕÜ
Ù¸Ò¸Ô;verb;to thrust away;to suffer, grief, torment;0.652 (MULTI);2Sam.20.13;ÛÐéè ÔÒÔ Þß ÔÞáÜÔ âÑè ÛÜ ÐÙé Ð×èÙ ÙÕÐÑ ÜèÓã Ð×èÙ éÑâ Ñß ÑÛèÙ;ÔÒÔ
Þ´é°Â×·ç;noun;object of derision;a game;0.642 (MULTI);Hab.1.10;ÕÔÕÐ ÑÞÜÛÙÝ ÙêçÜá ÕèÖàÙÝ Þé×ç ÜÕ ÔÕÐ ÜÛÜ ÞÑæè Ùé×ç ÕÙæÑè âäè ÕÙÜÛÓÔ;Þé×ç
Þ·Ø°Ñµ¼×·;noun;slaughtering-place;kitchen;0.554 (EN);Isa.14.21;ÔÛÙàÕ ÜÑàÙÕ ÞØÑ× ÑâÕß ÐÑÕêÝ ÑÜ ÙçÞÕ ÕÙèéÕ Ðèå ÕÞÜÐÕ äàÙ êÑÜ âèÙÝ;ÞØÑ×
â²ê´ÙÓ;adjective;ready;will, shall;0.464 (MULTI);Job.15.24;ÙÑâêÔÕ æè ÕÞæÕçÔ êêçäÔÕ ÛÞÜÚ âêÙÓ ÜÛÙÓÕè;âêÙÓ
ê·¼è°Ñ¼Õ¼ê;noun;brood;culture, civilization;0.637 (MULTI);Num.32.14;Õ°Ô´à¼µÔ ç·Þ°ê¼¶Ý ê¼·×·ê Ð²Ñ¹êµÙÛ¶Ý ê¼·è°Ñ¼Õ¼ê Ð²à¸éÁ´ÙÝ ×·Ø¼¸Ð´ÙÝ Ü´á°ä¼Õ¹ê âÕ¹Ó â·Ü ×²èÕ¹ß Ð·ã Ù°ÔÕ¸Ô Ð¶Ü Ù´éÂ°è¸ÐµÜ;ê¼·è°Ñ¼Õ¼ê
ê·¼â²à´Ùê;noun;humiliation;a fast;0.524 (MULTI);Ezra.9.5;ÕÑÞà×ê ÔâèÑ çÞêÙ ÞêâàÙêÙ ÕÑçèâÙ ÑÒÓÙ ÕÞâÙÜÙ ÕÐÛèâÔ âÜ ÑèÛÙ ÕÐäèéÔ ÛäÙ ÐÜ ÙÔÕÔ ÐÜÔÙ;ÞêâàÙêÙ
Þ·â°Ñ¸¼Ó;noun;work;processor;0.681 (MULTI);Job.34.25;ÜÛß ÙÛÙè ÞâÑÓÙÔÝ ÕÔäÚ ÜÙÜÔ ÕÙÓÛÐÕ;ÞâÑÓÙÔÝ
Ö´è°Þ¸Ô;noun;issue;semen, sperm;0.603 (MULTI);Ezek.23.20;ÕêâÒÑÔ âÜ äÜÒéÙÔÝ Ðéè Ñéè ×ÞÕèÙÝ ÑéèÝ ÕÖèÞê áÕáÙÝ ÖèÞêÝ;ÕÖèÞê
Ö´Þ°è¸Ô;noun;choice products;singing;0.900 (MULTI);Gen.43.11;ÕÙÐÞè ÐÜÔÝ ÙéèÐÜ ÐÑÙÔÝ ÐÝ Ûß ÐäÕÐ ÖÐê âéÕ ç×Õ ÞÖÞèê ÔÐèå ÑÛÜÙÛÝ ÕÔÕèÙÓÕ ÜÐÙé Þà×Ô ÞâØ æèÙ ÕÞâØ ÓÑé àÛÐê ÕÜØ ÑØàÙÝ ÕéçÓÙÝ;ÞÖÞèê
ê¼Õ¹ê¸‘×;noun;mace;a cannon;0.699 (EN);Job.41.21;Ûçé à×éÑÕ êÕê× ÕÙé×ç Üèâé ÛÙÓÕß;êÕê×
ä¶¼«Ü¶Ò;noun;channel, canal;stream, brook, tributary;0.657 (MULTI);Gen.10.25;ÕÜâÑè ÙÜÓ éàÙ ÑàÙÝ éÝ ÔÐ×Ó äÜÒ ÛÙ ÑÙÞÙÕ àäÜÒÔ ÔÐèå ÕéÝ Ð×ÙÕ ÙçØß;äÜÒ
é°ÁÑ¸Ñ´ÙÝ;noun;splinters;a chipset;0.752 (MULTI);Hos.8.6;ÛÙ ÞÙéèÐÜ ÕÔÕÐ ×èé âéÔÕ ÕÜÐ ÐÜÔÙÝ ÔÕÐ ÛÙ éÑÑÙÝ ÙÔÙÔ âÒÜ éÞèÕß;éÑÑÙÝ
â¸æ¶Ô;noun;trees;a suggestion, a piece of advice or counsel;0.700 (MULTI);Jer.6.6;ÛÙ ÛÔ ÐÞè ÙÔÕÔ æÑÐÕê ÛèêÕ âæÔ ÕéäÛÕ âÜ ÙèÕéÜÝ áÜÜÔ ÔÙÐ ÔâÙè ÔäçÓ ÛÜÔ âéç ÑçèÑÔ;âæÔ
ÐµÜ¸Ô;noun;oak;a goddess;0.705 (MULTI);Gen.35.4;ÕÙêàÕ ÐÜ ÙâçÑ Ðê ÛÜ ÐÜÔÙ ÔàÛè Ðéè ÑÙÓÝ ÕÐê ÔàÖÞÙÝ Ðéè ÑÐÖàÙÔÝ ÕÙØÞß ÐêÝ ÙâçÑ ê×ê ÔÐÜÔ Ðéè âÝ éÛÝ;ÔÐÜÔ
é¸Áè·ê;verb;to minister;to serve;0.613 (EN);Exod.35.19;Ðê ÑÒÓÙ ÔéèÓ Üéèê ÑçÓé Ðê ÑÒÓÙ ÔçÓé ÜÐÔèß ÔÛÔß ÕÐê ÑÒÓÙ ÑàÙÕ ÜÛÔß;Üéèê
Þ¸é°Á×¸Ô;noun;ointment;paste, cream;0.494 (EN);Exod.30.25;ÕâéÙê ÐêÕ éÞß Þé×ê çÓé èç× Þèç×ê ÞâéÔ èç× éÞß Þé×ê çÓé ÙÔÙÔ;Þé×ê
